Country id,Province or State id,Province or State,Country ,County id,County,State,Country
Uganda,,,,Randolph_Arkansas_UnitedStates,Randolph,Arkansas,United States
Ukraine,,,,St.Francis_Arkansas_UnitedStates,St. Francis,Arkansas,United States
UnitedArabEmirates,,,,Saline_Arkansas_UnitedStates,Saline,Arkansas,United States
UnitedKingdom,,,,Scott_Arkansas_UnitedStates,Scott,Arkansas,United States
Uruguay,,,,Searcy_Arkansas_UnitedStates,Searcy,Arkansas,United States
Uzbekistan,,,,Sebastian_Arkansas_UnitedStates,Sebastian,Arkansas,United States
Venezuela,,,,Sevier_Arkansas_UnitedStates,Sevier,Arkansas,United States
Vietnam,,,,Sharp_Arkansas_UnitedStates,Sharp,Arkansas,United States
WestBankandGaza,,,,Stone_Arkansas_UnitedStates,Stone,Arkansas,United States
WesternSahara,,,,Union_Arkansas_UnitedStates,Union,Arkansas,United States
Yemen,,,,VanBuren_Arkansas_UnitedStates,Van Buren,Arkansas,United States
Zambia,,,,Washington_Arkansas_UnitedStates,Washington,Arkansas,United States
Zimbabwe,,,,White_Arkansas_UnitedStates,White,Arkansas,United States
,,,,Woodruff_Arkansas_UnitedStates,Woodruff,Arkansas,United States
,,,,Yell_Arkansas_UnitedStates,Yell,Arkansas,United States
,,,,Alameda_California_UnitedStates,Alameda,California,United States
,,,,Alpine_California_UnitedStates,Alpine,California,United States
,,,,Amador_California_UnitedStates,Amador,California,United States
,,,,Butte_California_UnitedStates,Butte,California,United States
,,,,Calaveras_California_UnitedStates,Calaveras,California,United States
,,,,Colusa_California_UnitedStates,Colusa,California,United States
,,,,ContraCosta_California_UnitedStates,Contra Costa,California,United States
,,,,DelNorte_California_UnitedStates,Del Norte,California,United States
,,,,ElDorado_California_UnitedStates,El Dorado,California,United States
,,,,Fresno_California_UnitedStates,Fresno,California,United States
,,,,Glenn_California_UnitedStates,Glenn,California,United States
,,,,Humboldt_California_UnitedStates,Humboldt,California,United States
,,,,Imperial_California_UnitedStates,Imperial,California,United States
,,,,Inyo_California_UnitedStates,Inyo,California,United States
,,,,Kern_California_UnitedStates,Kern,California,United States
,,,,Kings_California_UnitedStates,Kings,California,United States
,,,,Lake_California_UnitedStates,Lake,California,United States
,,,,Lassen_California_UnitedStates,Lassen,California,United States
,,,,LosAngeles_California_UnitedStates,Los Angeles,California,United States
,,,,Madera_California_UnitedStates,Madera,California,United States
,,,,Marin_California_UnitedStates,Marin,California,United States
,,,,Mariposa_California_UnitedStates,Mariposa,California,United States
,,,,Mendocino_California_UnitedStates,Mendocino,California,United States
,,,,Merced_California_UnitedStates,Merced,California,United States
,,,,Modoc_California_UnitedStates,Modoc,California,United States
,,,,Mono_California_UnitedStates,Mono,California,United States
,,,,Monterey_California_UnitedStates,Monterey,California,United States
,,,,Napa_California_UnitedStates,Napa,California,United States
,,,,Nevada_California_UnitedStates,Nevada,California,United States
,,,,Orange_California_UnitedStates,Orange,California,United States
,,,,Placer_California_UnitedStates,Placer,California,United States
,,,,Plumas_California_UnitedStates,Plumas,California,United States
,,,,Riverside_California_UnitedStates,Riverside,California,United States
,,,,Sacramento_California_UnitedStates,Sacramento,California,United States
,,,,SanBenito_California_UnitedStates,San Benito,California,United States
,,,,SanBernardino_California_UnitedStates,San Bernardino,California,United States
,,,,SanDiego_California_UnitedStates,San Diego,California,United States
,,,,SanFrancisco_California_UnitedStates,San Francisco,California,United States
,,,,SanJoaquin_California_UnitedStates,San Joaquin,California,United States
,,,,SanLuisObispo_California_UnitedStates,San Luis Obispo,California,United States
,,,,SanMateo_California_UnitedStates,San Mateo,California,United States
,,,,SantaBarbara_California_UnitedStates,Santa Barbara,California,United States
,,,,SantaClara_California_UnitedStates,Santa Clara,California,United States
,,,,SantaCruz_California_UnitedStates,Santa Cruz,California,United States
,,,,Shasta_California_UnitedStates,Shasta,California,United States
,,,,Sierra_California_UnitedStates,Sierra,California,United States
,,,,Siskiyou_California_UnitedStates,Siskiyou,California,United States
,,,,Solano_California_UnitedStates,Solano,California,United States
,,,,Sonoma_California_UnitedStates,Sonoma,California,United States
,,,,Stanislaus_California_UnitedStates,Stanislaus,California,United States
,,,,Sutter_California_UnitedStates,Sutter,California,United States
,,,,Tehama_California_UnitedStates,Tehama,California,United States
,,,,Trinity_California_UnitedStates,Trinity,California,United States
,,,,Tulare_California_UnitedStates,Tulare,California,United States
,,,,Tuolumne_California_UnitedStates,Tuolumne,California,United States
,,,,Ventura_California_UnitedStates,Ventura,California,United States
,,,,Yolo_California_UnitedStates,Yolo,California,United States
,,,,Yuba_California_UnitedStates,Yuba,California,United States
,,,,Adams_Colorado_UnitedStates,Adams,Colorado,United States
,,,,Alamosa_Colorado_UnitedStates,Alamosa,Colorado,United States
,,,,Arapahoe_Colorado_UnitedStates,Arapahoe,Colorado,United States
,,,,Archuleta_Colorado_UnitedStates,Archuleta,Colorado,United States
,,,,Baca_Colorado_UnitedStates,Baca,Colorado,United States
